seq,timestamp_ms,red,ir,red_corrected,ir_corrected,time_sec,red_roll_mean,red_roll_std,ir_roll_mean,ir_roll_std,red_diff,ir_diff,red_diff2,ir_diff2,signal_energy
35,135777,40532,100689,-71.86464164001993,-237.39484932736016,0.684,,,,,-4.040715766481398,-13.27857118349172,2.458294910951196,-13.962955508116892,61520.84120520852
36,135800,40547,100709,-55.62668172832119,-216.1355563432336,0.707,,,,,16.237959911698738,21.259292984126574,20.278675678180136,34.537864167618295,49808.906435903045
37,135811,40523,100680,-79.11256307761568,-243.95685965705871,0.718,,,,,-23.485881349294488,-27.821303313825126,-39.723841260993225,-49.0805962979517,65773.74701044356
38,135831,40526,100713,-75.48536795430768,-210.996527275254,0.738,,,,,3.627195123307999,32.960332381804704,27.113076472602486,60.78163569562983,50217.57529741423
39,135851,40526,100697,-74.53015523722394,-225.60715685726356,0.758,,,,,0.9552127170837394,-14.610629582009551,-2.6719824062242594,-47.570961963814256,56453.33326490263
40,135877,40526,100704,-74.09287261364999,-216.6826172186526,0.784,,,,,0.43728262357394954,8.924539638610952,-0.5179300935097899,23.535169220620503,52441.11037686769
41,135890,40531,100718,-68.3924216227574,-201.7211074925286,0.797,,,,,5.700450990892591,14.961509726124007,5.263168367318642,6.036970087513055,45368.928543437294
42,135910,40523,100705,-75.73076439079539,-214.0698731775392,0.817,,,,,-7.33834276803799,-12.34876568501059,-13.03879375893058,-27.310275411134597,51561.05927746188
43,135935,40525,100708,-74.05998940961864,-209.80209293694676,0.842,,,,,1.6707749811767485,4.26778024059243,9.009117749214738,16.61654592560302,49501.80023207607
44,135960,40536,100701,-62.507957358232446,-216.11904909222932,0.867,,,,,11.552032051386192,-6.316956155282554,9.881257070209443,-10.584736395874984,50614.68811362803
45,135974,40524,100718,-73.61725833829624,-198.53169861756163,0.881,,,,,-11.109300980063793,17.587350474667687,-22.661333031449985,23.90430662995024,44834.336081221765
46,135994,40536,100720,-60.96853625943246,-195.9671340502984,0.901,,,,,12.648722078863777,2.5645645672632327,23.75802305892757,-15.022785907404455,42120.28004150535
47,136014,40537,100721,-59.35735286309001,-193.07498520828844,0.921,,,,,1.6111833963424544,2.8921488420099593,-11.037538682521323,0.3275842747467266,40801.24525209417
48,136035,40529,100707,-67.81714945692869,-205.62281368158952,0.942,,,,,-8.459796593838682,-12.547828473301081,-10.070979990181137,-15.43997731531104,46879.90726679708
49,136055,40524,100737,-73.7201829609285,-175.22602196840882,0.962,,,,,-5.903033503999808,30.396791713180704,2.5567630898388742,42.944620186481785,36138.82415066606
50,136076,40530,100765,-67.14091245200328,-146.98199785886297,0.983,-53.08624598421625,24.719202349936356,-164.74094584180588,79.31018468162658,6.5792705089252195,28.244024109545848,12.482304012925027,-2.1527676036348566,26111.609819470366
51,136096,40551,100817,-45.39857184079849,-94.6317824529126,1.003,-53.778456152465616,23.98422764745009,-166.54565679625028,76.56625564160191,21.74234061120479,52.350215405950365,15.163070102279569,24.106191296404518,11016.204575399519
52,136116,40563,100849,-34.39302857445357,-62.25475653688668,1.023,-54.50917249589173,22.771638055019807,-167.4886385544512,74.93606046955244,11.005543266344922,32.37702591602592,-10.736797344859866,-19.973189489924444,5058.5351259902145
53,136137,40579,100870,-19.428911988448668,-40.86193250068133,1.044,-54.65672067266095,22.513356558733634,-168.15503500033216,73.62126901540307,14.964116586004899,21.392824036205354,3.958573319659976,-10.984201879820567,2047.1801487451212
54,136159,40581,100914,-16.09115543295072,3.4863213293050324,1.066,-54.963160463249324,21.859686569766357,-167.80040250654483,74.41619486063907,3.337756555497947,44.34825382998636,-11.626360030506952,22.955429793781008,271.0797195785467
55,136169,40590,100897,-6.716630881312366,-13.635160589404425,1.076,-55.25924222451542,21.074412844499232,-167.66206191372683,74.70140037893647,9.374524551638356,-17.121481918709456,6.036767996140409,-61.46973574869582,231.03073469464653
